,Регион,Год,Выброс загрезнений(тыс.тонн),Unnamed: 0,index,ranks
0,Акмолинская,2005,44,,1.0,1
1,Акмолинская,2005,44,,2.7,2
2,Акмолинская,2005,45,,4.4,3
3,Акмолинская,2005,46,,6.1,4
4,Акмолинская,2005,47,,7.8,5
5,Акмолинская,2005,48,,9.5,6
6,Акмолинская,2005,49,,11.2,7
7,Акмолинская,2005,50,,12.9,8
8,Акмолинская,2005,51,,14.6,9
9,Акмолинская,2005,52,,16.299999999999997,10
0,Актюбинская,2005,168,,2.0,1
1,Актюбинская,2005,171,,3.7,2
2,Актюбинская,2005,174,,5.4,3
3,Актюбинская,2005,177,,7.1,4
4,Актюбинская,2005,180,,8.8,5
5,Актюбинская,2005,183,,10.5,6
6,Актюбинская,2005,186,,12.2,7
7,Актюбинская,2005,189,,13.9,8
8,Актюбинская,2005,192,,15.6,9
9,Актюбинская,2005,195,,17.299999999999997,10
0,Алматинская,2005,68,,3.0,1
1,Алматинская,2005,68,,4.7,2
2,Алматинская,2005,68,,6.4,3
3,Алматинская,2005,68,,8.1,4
4,Алматинская,2005,69,,9.8,5
5,Алматинская,2005,69,,11.5,6
6,Алматинская,2005,69,,13.2,7
7,Алматинская,2005,70,,14.9,8
8,Алматинская,2005,70,,16.6,9
9,Алматинская,2005,70,,18.299999999999997,10
0,Алматы,2005,15,,16.0,1
1,Алматы,2005,15,,17.7,2
2,Алматы,2005,15,,19.4,3
3,Алматы,2005,15,,21.1,4
4,Алматы,2005,15,,22.8,5
5,Алматы,2005,15,,24.5,6
6,Алматы,2005,15,,26.2,7
7,Алматы,2005,15,,27.9,8
8,Алматы,2005,15,,29.6,9
9,Алматы,2005,15,,31.299999999999997,10
0,Астана,2005,43,,15.0,1
1,Астана,2005,43,,16.7,2
2,Астана,2005,43,,18.4,3
3,Астана,2005,43,,20.1,4
4,Астана,2005,43,,21.8,5
5,Астана,2005,43,,23.5,6
6,Астана,2005,43,,25.2,7
7,Астана,2005,43,,26.9,8
8,Астана,2005,43,,28.6,9
9,Астана,2005,43,,30.299999999999997,10
0,Атырауская,2005,89,,4.0,1
1,Атырауская,2005,89,,5.7,2
2,Атырауская,2005,90,,7.4,3
3,Атырауская,2005,90,,9.1,4
4,Атырауская,2005,91,,10.8,5
5,Атырауская,2005,92,,12.5,6
6,Атырауская,2005,92,,14.2,7
7,Атырауская,2005,93,,15.9,8
8,Атырауская,2005,93,,17.6,9
9,Атырауская,2005,94,,19.299999999999997,10
9,ВКО,2005,157,,29.299999999999997,1
8,ВКО,2005,158,,27.6,2
7,ВКО,2005,159,,25.9,3
6,ВКО,2005,160,,24.2,4
5,ВКО,2005,161,,22.5,5
4,ВКО,2005,161,,20.8,6
3,ВКО,2005,162,,19.1,7
2,ВКО,2005,163,,17.4,8
1,ВКО,2005,164,,15.7,9
0,ВКО,2005,165,,14.0,10
0,Жамбылская,2005,18,,6.0,1
1,Жамбылская,2005,18,,7.7,2
2,Жамбылская,2005,18,,9.4,3
3,Жамбылская,2005,18,,11.1,4
4,Жамбылская,2005,18,,12.8,5
5,Жамбылская,2005,19,,14.5,6
6,Жамбылская,2005,19,,16.2,7
7,Жамбылская,2005,19,,17.9,8
8,Жамбылская,2005,19,,19.6,9
9,Жамбылская,2005,19,,21.299999999999997,10
9,ЗКО,2005,54,,20.299999999999997,1
8,ЗКО,2005,56,,18.6,2
7,ЗКО,2005,59,,16.9,3
6,ЗКО,2005,61,,15.2,4
5,ЗКО,2005,64,,13.5,5
4,ЗКО,2005,66,,11.8,6
3,ЗКО,2005,68,,10.1,7
2,ЗКО,2005,71,,8.4,8
1,ЗКО,2005,73,,6.7,9
0,ЗКО,2005,76,,5.0,10
9,Карагандинская,2005,1314,,22.299999999999997,1
8,Карагандинская,2005,1325,,20.6,2
7,Карагандинская,2005,1336,,18.9,3
6,Карагандинская,2005,1347,,17.2,4
5,Карагандинская,2005,1359,,15.5,5
4,Карагандинская,2005,1370,,13.8,6
3,Карагандинская,2005,1381,,12.1,7
2,Карагандинская,2005,1392,,10.4,8
1,Карагандинская,2005,1403,,8.7,9
0,Карагандинская,2005,1415,,7.0,10
0,Костанайская,2005,100,,8.0,1
1,Костанайская,2005,101,,9.7,2
2,Костанайская,2005,103,,11.4,3
3,Костанайская,2005,105,,13.1,4
4,Костанайская,2005,107,,14.8,5
5,Костанайская,2005,109,,16.5,6
6,Костанайская,2005,110,,18.2,7
7,Костанайская,2005,112,,19.9,8
8,Костанайская,2005,114,,21.6,9
9,Костанайская,2005,116,,23.299999999999997,10
9,Кызылординская,2005,35,,24.299999999999997,1
8,Кызылординская,2005,36,,22.6,2
7,Кызылординская,2005,36,,20.9,3
6,Кызылординская,2005,37,,19.2,4
5,Кызылординская,2005,37,,17.5,5
4,Кызылординская,2005,38,,15.8,6
3,Кызылординская,2005,38,,14.1,7
2,Кызылординская,2005,39,,12.4,8
1,Кызылординская,2005,39,,10.7,9
0,Кызылординская,2005,40,,9.0,10
0,Мангистауская,2005,63,,10.0,1
1,Мангистауская,2005,63,,11.7,2
2,Мангистауская,2005,63,,13.4,3
3,Мангистауская,2005,63,,15.1,4
4,Мангистауская,2005,64,,16.8,5
5,Мангистауская,2005,64,,18.5,6
6,Мангистауская,2005,64,,20.2,7
7,Мангистауская,2005,65,,21.9,8
8,Мангистауская,2005,65,,23.6,9
9,Мангистауская,2005,65,,25.299999999999997,10
0,Павлодарская,2005,556,,12.0,1
1,Павлодарская,2005,558,,13.7,2
2,Павлодарская,2005,561,,15.4,3
3,Павлодарская,2005,563,,17.1,4
4,Павлодарская,2005,566,,18.8,5
5,Павлодарская,2005,569,,20.5,6
6,Павлодарская,2005,571,,22.2,7
7,Павлодарская,2005,574,,23.9,8
8,Павлодарская,2005,576,,25.6,9
9,Павлодарская,2005,579,,27.299999999999997,10
9,Республика Казахстан,2005,2925,,15.299999999999999,1
8,Республика Казахстан,2005,2930,,13.6,2
7,Республика Казахстан,2005,2935,,11.9,3
6,Республика Казахстан,2005,2939,,10.2,4
5,Республика Казахстан,2005,2944,,8.5,5
4,Республика Казахстан,2005,2949,,6.8,6
3,Республика Казахстан,2005,2953,,5.1,7
2,Республика Казахстан,2005,2958,,3.4,8
1,Республика Казахстан,2005,2963,,1.7,9
0,Республика Казахстан,2005,2968,,0.0,10
0,СКО,2005,65,,13.0,1
1,СКО,2005,65,,14.7,2
2,СКО,2005,65,,16.4,3
3,СКО,2005,65,,18.1,4
4,СКО,2005,65,,19.8,5
5,СКО,2005,65,,21.5,6
6,СКО,2005,65,,23.2,7
7,СКО,2005,65,,24.9,8
8,СКО,2005,65,,26.6,9
9,СКО,2005,65,,28.299999999999997,10
0,Южно-Казахстанская,2005,36,,11.0,1
1,Южно-Казахстанская,2005,36,,12.7,2
2,Южно-Казахстанская,2005,36,,14.4,3
3,Южно-Казахстанская,2005,36,,16.1,4
4,Южно-Казахстанская,2005,36,,17.8,5
5,Южно-Казахстанская,2005,37,,19.5,6
6,Южно-Казахстанская,2005,37,,21.2,7
7,Южно-Казахстанская,2005,37,,22.9,8
8,Южно-Казахстанская,2005,37,,24.6,9
9,Южно-Казахстанская,2005,37,,26.299999999999997,10
10,Акмолинская,2006,53,,18.0,11
11,Акмолинская,2006,55,,19.7,12
12,Акмолинская,2006,58,,21.4,13
13,Акмолинская,2006,60,,23.1,14
14,Акмолинская,2006,63,,24.8,15
15,Акмолинская,2006,65,,26.5,16
16,Акмолинская,2006,68,,28.2,17
17,Акмолинская,2006,70,,29.9,18
18,Акмолинская,2006,73,,31.6,19
19,Акмолинская,2006,75,,33.3,20
10,Актюбинская,2006,199,,19.0,11
11,Актюбинская,2006,199,,20.7,12
12,Актюбинская,2006,200,,22.4,13
13,Актюбинская,2006,200,,24.1,14
14,Актюбинская,2006,201,,25.8,15
15,Актюбинская,2006,201,,27.5,16
16,Актюбинская,2006,202,,29.2,17
17,Актюбинская,2006,202,,30.9,18
18,Актюбинская,2006,203,,32.6,19
19,Актюбинская,2006,203,,34.3,20
19,Алматинская,2006,62,,35.3,11
18,Алматинская,2006,63,,33.6,12
17,Алматинская,2006,64,,31.9,13
16,Алматинская,2006,65,,30.2,14
15,Алматинская,2006,66,,28.5,15
14,Алматинская,2006,67,,26.8,16
13,Алматинская,2006,68,,25.1,17
12,Алматинская,2006,69,,23.4,18
11,Алматинская,2006,70,,21.7,19
10,Алматинская,2006,71,,20.0,20
10,Алматы,2006,15,,33.0,11
11,Алматы,2006,15,,34.7,12
12,Алматы,2006,15,,36.4,13
13,Алматы,2006,15,,38.1,14
14,Алматы,2006,15,,39.8,15
15,Алматы,2006,15,,41.5,16
16,Алматы,2006,15,,43.2,17
17,Алматы,2006,15,,44.9,18
18,Алматы,2006,15,,46.6,19
19,Алматы,2006,15,,48.3,20
10,Астана,2006,44,,32.0,11
11,Астана,2006,44,,33.7,12
12,Астана,2006,44,,35.4,13
13,Астана,2006,44,,37.1,14
14,Астана,2006,44,,38.8,15
15,Астана,2006,44,,40.5,16
16,Астана,2006,44,,42.2,17
17,Астана,2006,44,,43.9,18
18,Астана,2006,44,,45.6,19
19,Астана,2006,44,,47.3,20
10,Атырауская,2006,95,,21.0,11
11,Атырауская,2006,96,,22.7,12
12,Атырауская,2006,97,,24.4,13
13,Атырауская,2006,98,,26.1,14
14,Атырауская,2006,99,,27.8,15
15,Атырауская,2006,101,,29.5,16
16,Атырауская,2006,102,,31.2,17
17,Атырауская,2006,103,,32.9,18
18,Атырауская,2006,104,,34.6,19
19,Атырауская,2006,105,,36.3,20
10,ВКО,2006,157,,31.0,11
11,ВКО,2006,157,,32.7,12
12,ВКО,2006,158,,34.4,13
13,ВКО,2006,159,,36.1,14
14,ВКО,2006,160,,37.8,15
15,ВКО,2006,161,,39.5,16
16,ВКО,2006,162,,41.2,17
17,ВКО,2006,163,,42.9,18
18,ВКО,2006,164,,44.6,19
19,ВКО,2006,165,,46.3,20
10,Жамбылская,2006,20,,23.0,11
11,Жамбылская,2006,20,,24.7,12
12,Жамбылская,2006,20,,26.4,13
13,Жамбылская,2006,20,,28.1,14
14,Жамбылская,2006,20,,29.8,15
15,Жамбылская,2006,20,,31.5,16
16,Жамбылская,2006,20,,33.2,17
17,Жамбылская,2006,20,,34.9,18
18,Жамбылская,2006,20,,36.6,19
19,Жамбылская,2006,20,,38.3,20
19,ЗКО,2006,47,,37.3,11
18,ЗКО,2006,48,,35.6,12
17,ЗКО,2006,48,,33.9,13
16,ЗКО,2006,49,,32.2,14
15,ЗКО,2006,49,,30.5,15
14,ЗКО,2006,50,,28.8,16
13,ЗКО,2006,50,,27.1,17
12,ЗКО,2006,51,,25.4,18
11,ЗКО,2006,51,,23.7,19
10,ЗКО,2006,52,,22.0,20
19,Карагандинская,2006,1268,,39.3,11
18,Карагандинская,2006,1272,,37.6,12
17,Карагандинская,2006,1276,,35.9,13
16,Карагандинская,2006,1280,,34.2,14
15,Карагандинская,2006,1284,,32.5,15
14,Карагандинская,2006,1287,,30.8,16
13,Карагандинская,2006,1291,,29.1,17
12,Карагандинская,2006,1295,,27.4,18
11,Карагандинская,2006,1299,,25.7,19
10,Карагандинская,2006,1303,,24.0,20
19,Костанайская,2006,115,,40.3,11
18,Костанайская,2006,115,,38.6,12
17,Костанайская,2006,115,,36.9,13
16,Костанайская,2006,116,,35.2,14
15,Костанайская,2006,116,,33.5,15
14,Костанайская,2006,116,,31.8,16
13,Костанайская,2006,117,,30.1,17
12,Костанайская,2006,117,,28.4,18
11,Костанайская,2006,117,,26.7,19
10,Костанайская,2006,118,,25.0,20
10,Кызылординская,2006,35,,26.0,11
11,Кызылординская,2006,35,,27.7,12
12,Кызылординская,2006,35,,29.4,13
13,Кызылординская,2006,35,,31.1,14
14,Кызылординская,2006,35,,32.8,15
15,Кызылординская,2006,35,,34.5,16
16,Кызылординская,2006,35,,36.2,17
17,Кызылординская,2006,35,,37.9,18
18,Кызылординская,2006,35,,39.6,19
19,Кызылординская,2006,35,,41.3,20
19,Мангистауская,2006,64,,42.3,11
18,Мангистауская,2006,64,,40.6,12
17,Мангистауская,2006,64,,38.9,13
16,Мангистауская,2006,64,,37.2,14
15,Мангистауская,2006,65,,35.5,15
14,Мангистауская,2006,65,,33.8,16
13,Мангистауская,2006,65,,32.1,17
12,Мангистауская,2006,65,,30.4,18
11,Мангистауская,2006,65,,28.7,19
10,Мангистауская,2006,66,,27.0,20
19,Павлодарская,2006,575,,44.3,11
18,Павлодарская,2006,576,,42.6,12
17,Павлодарская,2006,577,,40.9,13
16,Павлодарская,2006,577,,39.2,14
15,Павлодарская,2006,578,,37.5,15
14,Павлодарская,2006,579,,35.8,16
13,Павлодарская,2006,579,,34.1,17
12,Павлодарская,2006,580,,32.4,18
11,Павлодарская,2006,581,,30.7,19
10,Павлодарская,2006,582,,29.0,20
19,Республика Казахстан,2006,2915,,32.3,11
18,Республика Казахстан,2006,2916,,30.6,12
17,Республика Казахстан,2006,2916,,28.9,13
16,Республика Казахстан,2006,2917,,27.2,14
15,Республика Казахстан,2006,2918,,25.5,15
14,Республика Казахстан,2006,2918,,23.8,16
13,Республика Казахстан,2006,2919,,22.1,17
12,Республика Казахстан,2006,2919,,20.4,18
11,Республика Казахстан,2006,2920,,18.7,19
10,Республика Казахстан,2006,2921,,17.0,20
10,СКО,2006,66,,30.0,11
11,СКО,2006,66,,31.7,12
12,СКО,2006,66,,33.4,13
13,СКО,2006,66,,35.1,14
14,СКО,2006,67,,36.8,15
15,СКО,2006,67,,38.5,16
16,СКО,2006,67,,40.2,17
17,СКО,2006,68,,41.9,18
18,СКО,2006,68,,43.6,19
19,СКО,2006,68,,45.3,20
10,Южно-Казахстанская,2006,38,,28.0,11
11,Южно-Казахстанская,2006,38,,29.7,12
12,Южно-Казахстанская,2006,38,,31.4,13
13,Южно-Казахстанская,2006,38,,33.1,14
14,Южно-Казахстанская,2006,38,,34.8,15
15,Южно-Казахстанская,2006,38,,36.5,16
16,Южно-Казахстанская,2006,38,,38.2,17
17,Южно-Казахстанская,2006,38,,39.9,18
18,Южно-Казахстанская,2006,38,,41.6,19
19,Южно-Казахстанская,2006,38,,43.3,20
29,Акмолинская,2007,75,,50.3,21
28,Акмолинская,2007,75,,48.6,22
27,Акмолинская,2007,75,,46.9,23
26,Акмолинская,2007,76,,45.2,24
25,Акмолинская,2007,76,,43.5,25
24,Акмолинская,2007,76,,41.8,26
23,Акмолинская,2007,77,,40.1,27
22,Акмолинская,2007,77,,38.4,28
21,Акмолинская,2007,77,,36.7,29
20,Акмолинская,2007,78,,35.0,30
20,Актюбинская,2007,204,,36.0,21
21,Актюбинская,2007,204,,37.7,22
22,Актюбинская,2007,204,,39.4,23
23,Актюбинская,2007,205,,41.1,24
24,Актюбинская,2007,205,,42.8,25
25,Актюбинская,2007,206,,44.5,26
26,Актюбинская,2007,206,,46.2,27
27,Актюбинская,2007,206,,47.9,28
28,Актюбинская,2007,207,,49.6,29
29,Актюбинская,2007,207,,51.3,30
20,Алматинская,2007,62,,37.0,21
21,Алматинская,2007,62,,38.7,22
22,Алматинская,2007,63,,40.4,23
23,Алматинская,2007,63,,42.1,24
24,Алматинская,2007,64,,43.8,25
25,Алматинская,2007,65,,45.5,26
26,Алматинская,2007,65,,47.2,27
27,Алматинская,2007,66,,48.9,28
28,Алматинская,2007,66,,50.6,29
29,Алматинская,2007,67,,52.3,30
29,Алматы,2007,13,,65.3,21
28,Алматы,2007,13,,63.6,22
27,Алматы,2007,13,,61.9,23
26,Алматы,2007,13,,60.2,24
25,Алматы,2007,14,,58.5,25
24,Алматы,2007,14,,56.8,26
23,Алматы,2007,14,,55.1,27
22,Алматы,2007,14,,53.4,28
21,Алматы,2007,14,,51.7,29
20,Алматы,2007,15,,50.0,30
29,Астана,2007,43,,64.3,21
28,Астана,2007,43,,62.6,22
27,Астана,2007,43,,60.9,23
26,Астана,2007,43,,59.2,24
25,Астана,2007,43,,57.5,25
24,Астана,2007,43,,55.8,26
23,Астана,2007,43,,54.1,27
22,Астана,2007,43,,52.4,28
21,Астана,2007,43,,50.7,29
20,Астана,2007,44,,49.0,30
29,Атырауская,2007,106,,53.3,21
28,Атырауская,2007,106,,51.6,22
27,Атырауская,2007,106,,49.9,23
26,Атырауская,2007,106,,48.2,24
25,Атырауская,2007,106,,46.5,25
24,Атырауская,2007,106,,44.8,26
23,Атырауская,2007,106,,43.1,27
22,Атырауская,2007,106,,41.4,28
21,Атырауская,2007,106,,39.7,29
20,Атырауская,2007,107,,38.0,30
29,ВКО,2007,152,,63.3,21
28,ВКО,2007,154,,61.6,22
27,ВКО,2007,155,,59.9,23
26,ВКО,2007,157,,58.2,24
25,ВКО,2007,158,,56.5,25
24,ВКО,2007,160,,54.8,26
23,ВКО,2007,161,,53.1,27
22,ВКО,2007,163,,51.4,28
21,ВКО,2007,164,,49.7,29
20,ВКО,2007,166,,48.0,30
20,Жамбылская,2007,21,,40.0,21
21,Жамбылская,2007,21,,41.7,22
22,Жамбылская,2007,22,,43.4,23
23,Жамбылская,2007,23,,45.1,24
24,Жамбылская,2007,23,,46.8,25
25,Жамбылская,2007,24,,48.5,26
26,Жамбылская,2007,25,,50.2,27
27,Жамбылская,2007,25,,51.9,28
28,Жамбылская,2007,26,,53.6,29
29,Жамбылская,2007,27,,55.3,30
29,ЗКО,2007,42,,54.3,21
28,ЗКО,2007,43,,52.6,22
27,ЗКО,2007,43,,50.9,23
26,ЗКО,2007,44,,49.2,24
25,ЗКО,2007,44,,47.5,25
24,ЗКО,2007,45,,45.8,26
23,ЗКО,2007,45,,44.1,27
22,ЗКО,2007,46,,42.4,28
21,ЗКО,2007,46,,40.7,29
20,ЗКО,2007,47,,39.0,30
29,Карагандинская,2007,1018,,56.3,21
28,Карагандинская,2007,1045,,54.6,22
27,Карагандинская,2007,1073,,52.9,23
26,Карагандинская,2007,1100,,51.2,24
25,Карагандинская,2007,1128,,49.5,25
24,Карагандинская,2007,1155,,47.8,26
23,Карагандинская,2007,1182,,46.1,27
22,Карагандинская,2007,1210,,44.4,28
21,Карагандинская,2007,1237,,42.7,29
20,Карагандинская,2007,1265,,41.0,30
29,Костанайская,2007,106,,57.3,21
28,Костанайская,2007,107,,55.6,22
27,Костанайская,2007,108,,53.9,23
26,Костанайская,2007,109,,52.2,24
25,Костанайская,2007,110,,50.5,25
24,Костанайская,2007,111,,48.8,26
23,Костанайская,2007,112,,47.1,27
22,Костанайская,2007,113,,45.4,28
21,Костанайская,2007,114,,43.7,29
20,Костанайская,2007,115,,42.0,30
29,Кызылординская,2007,34,,58.3,21
28,Кызылординская,2007,34,,56.6,22
27,Кызылординская,2007,34,,54.9,23
26,Кызылординская,2007,34,,53.2,24
25,Кызылординская,2007,35,,51.5,25
24,Кызылординская,2007,35,,49.8,26
23,Кызылординская,2007,35,,48.1,27
22,Кызылординская,2007,35,,46.4,28
21,Кызылординская,2007,35,,44.7,29
20,Кызылординская,2007,36,,43.0,30
29,Мангистауская,2007,61,,59.3,21
28,Мангистауская,2007,61,,57.6,22
27,Мангистауская,2007,61,,55.9,23
26,Мангистауская,2007,62,,54.2,24
25,Мангистауская,2007,62,,52.5,25
24,Мангистауская,2007,62,,50.8,26
23,Мангистауская,2007,63,,49.1,27
22,Мангистауская,2007,63,,47.4,28
21,Мангистауская,2007,63,,45.7,29
20,Мангистауская,2007,64,,44.0,30
20,Павлодарская,2007,575,,46.0,21
21,Павлодарская,2007,577,,47.7,22
22,Павлодарская,2007,579,,49.4,23
23,Павлодарская,2007,581,,51.1,24
24,Павлодарская,2007,583,,52.8,25
25,Павлодарская,2007,585,,54.5,26
26,Павлодарская,2007,587,,56.2,27
27,Павлодарская,2007,589,,57.9,28
28,Павлодарская,2007,591,,59.6,29
29,Павлодарская,2007,593,,61.3,30
29,Республика Казахстан,2007,2670,,49.3,21
28,Республика Казахстан,2007,2697,,47.6,22
27,Республика Казахстан,2007,2724,,45.9,23
26,Республика Казахстан,2007,2751,,44.2,24
25,Республика Казахстан,2007,2779,,42.5,25
24,Республика Казахстан,2007,2806,,40.8,26
23,Республика Казахстан,2007,2833,,39.1,27
22,Республика Казахстан,2007,2860,,37.4,28
21,Республика Казахстан,2007,2887,,35.7,29
20,Республика Казахстан,2007,2915,,34.0,30
20,СКО,2007,69,,47.0,21
21,СКО,2007,69,,48.7,22
22,СКО,2007,69,,50.4,23
23,СКО,2007,70,,52.1,24
24,СКО,2007,70,,53.8,25
25,СКО,2007,71,,55.5,26
26,СКО,2007,71,,57.2,27
27,СКО,2007,71,,58.9,28
28,СКО,2007,72,,60.6,29
29,СКО,2007,72,,62.3,30
20,Южно-Казахстанская,2007,39,,45.0,21
21,Южно-Казахстанская,2007,39,,46.7,22
22,Южно-Казахстанская,2007,39,,48.4,23
23,Южно-Казахстанская,2007,39,,50.1,24
24,Южно-Казахстанская,2007,39,,51.8,25
25,Южно-Казахстанская,2007,39,,53.5,26
26,Южно-Казахстанская,2007,39,,55.2,27
27,Южно-Казахстанская,2007,39,,56.9,28
28,Южно-Казахстанская,2007,39,,58.6,29
29,Южно-Казахстанская,2007,39,,60.3,30
39,Акмолинская,2008,71,,67.3,31
38,Акмолинская,2008,71,,65.6,32
37,Акмолинская,2008,72,,63.9,33
36,Акмолинская,2008,72,,62.2,34
35,Акмолинская,2008,73,,60.5,35
34,Акмолинская,2008,73,,58.8,36
33,Акмолинская,2008,73,,57.1,37
32,Акмолинская,2008,74,,55.4,38
31,Акмолинская,2008,74,,53.7,39
30,Акмолинская,2008,75,,52.0,40
30,Актюбинская,2008,208,,53.0,31
31,Актюбинская,2008,209,,54.7,32
32,Актюбинская,2008,210,,56.4,33
33,Актюбинская,2008,211,,58.1,34
34,Актюбинская,2008,212,,59.8,35
35,Актюбинская,2008,213,,61.5,36
36,Актюбинская,2008,214,,63.2,37
37,Актюбинская,2008,215,,64.9,38
38,Актюбинская,2008,216,,66.6,39
39,Актюбинская,2008,217,,68.3,40
30,Алматинская,2008,68,,54.0,31
31,Алматинская,2008,68,,55.7,32
32,Алматинская,2008,68,,57.4,33
33,Алматинская,2008,68,,59.1,34
34,Алматинская,2008,69,,60.8,35
35,Алматинская,2008,69,,62.5,36
36,Алматинская,2008,69,,64.2,37
37,Алматинская,2008,70,,65.9,38
38,Алматинская,2008,70,,67.6,39
39,Алматинская,2008,70,,69.3,40
39,Алматы,2008,11,,82.3,31
38,Алматы,2008,11,,80.6,32
37,Алматы,2008,11,,78.9,33
36,Алматы,2008,11,,77.2,34
35,Алматы,2008,12,,75.5,35
34,Алматы,2008,12,,73.8,36
33,Алматы,2008,12,,72.1,37
32,Алматы,2008,12,,70.4,38
31,Алматы,2008,12,,68.7,39
30,Алматы,2008,13,,67.0,40
30,Астана,2008,43,,66.0,31
31,Астана,2008,44,,67.7,32
32,Астана,2008,45,,69.4,33
33,Астана,2008,46,,71.1,34
34,Астана,2008,48,,72.8,35
35,Астана,2008,49,,74.5,36
36,Астана,2008,50,,76.2,37
37,Астана,2008,52,,77.9,38
38,Астана,2008,53,,79.6,39
39,Астана,2008,54,,81.3,40
39,Атырауская,2008,100,,70.3,31
38,Атырауская,2008,101,,68.6,32
37,Атырауская,2008,101,,66.9,33
36,Атырауская,2008,102,,65.2,34
35,Атырауская,2008,103,,63.5,35
34,Атырауская,2008,103,,61.8,36
33,Атырауская,2008,104,,60.1,37
32,Атырауская,2008,104,,58.4,38
31,Атырауская,2008,105,,56.7,39
30,Атырауская,2008,106,,55.0,40
39,ВКО,2008,149,,80.3,31
38,ВКО,2008,149,,78.6,32
37,ВКО,2008,149,,76.9,33
36,ВКО,2008,149,,75.2,34
35,ВКО,2008,150,,73.5,35
34,ВКО,2008,150,,71.8,36
33,ВКО,2008,150,,70.1,37
32,ВКО,2008,150,,68.4,38
31,ВКО,2008,150,,66.7,39
30,ВКО,2008,151,,65.0,40
39,Жамбылская,2008,17,,72.3,31
38,Жамбылская,2008,18,,70.6,32
37,Жамбылская,2008,19,,68.9,33
36,Жамбылская,2008,20,,67.2,34
35,Жамбылская,2008,22,,65.5,35
34,Жамбылская,2008,23,,63.8,36
33,Жамбылская,2008,24,,62.1,37
32,Жамбылская,2008,25,,60.4,38
31,Жамбылская,2008,26,,58.7,39
30,Жамбылская,2008,28,,57.0,40
30,ЗКО,2008,42,,56.0,31
31,ЗКО,2008,42,,57.7,32
32,ЗКО,2008,43,,59.4,33
33,ЗКО,2008,44,,61.1,34
34,ЗКО,2008,44,,62.8,35
35,ЗКО,2008,45,,64.5,36
36,ЗКО,2008,46,,66.2,37
37,ЗКО,2008,46,,67.9,38
38,ЗКО,2008,47,,69.6,39
39,ЗКО,2008,48,,71.3,40
39,Карагандинская,2008,717,,73.3,31
38,Карагандинская,2008,747,,71.6,32
37,Карагандинская,2008,778,,69.9,33
36,Карагандинская,2008,808,,68.2,34
35,Карагандинская,2008,839,,66.5,35
34,Карагандинская,2008,869,,64.8,36
33,Карагандинская,2008,899,,63.1,37
32,Карагандинская,2008,930,,61.4,38
31,Карагандинская,2008,960,,59.7,39
30,Карагандинская,2008,991,,58.0,40
30,Костанайская,2008,106,,59.0,31
31,Костанайская,2008,106,,60.7,32
32,Костанайская,2008,107,,62.4,33
33,Костанайская,2008,107,,64.1,34
34,Костанайская,2008,108,,65.8,35
35,Костанайская,2008,108,,67.5,36
36,Костанайская,2008,109,,69.2,37
37,Костанайская,2008,109,,70.9,38
38,Костанайская,2008,110,,72.6,39
39,Костанайская,2008,110,,74.3,40
39,Кызылординская,2008,33,,75.3,31
38,Кызылординская,2008,33,,73.6,32
37,Кызылординская,2008,33,,71.9,33
36,Кызылординская,2008,33,,70.2,34
35,Кызылординская,2008,33,,68.5,35
34,Кызылординская,2008,33,,66.8,36
33,Кызылординская,2008,33,,65.1,37
32,Кызылординская,2008,33,,63.4,38
31,Кызылординская,2008,33,,61.7,39
30,Кызылординская,2008,34,,60.0,40
30,Мангистауская,2008,61,,61.0,31
31,Мангистауская,2008,61,,62.7,32
32,Мангистауская,2008,61,,64.4,33
33,Мангистауская,2008,61,,66.1,34
34,Мангистауская,2008,62,,67.8,35
35,Мангистауская,2008,62,,69.5,36
36,Мангистауская,2008,62,,71.2,37
37,Мангистауская,2008,63,,72.9,38
38,Мангистауская,2008,63,,74.6,39
39,Мангистауская,2008,63,,76.3,40
39,Павлодарская,2008,563,,78.3,31
38,Павлодарская,2008,567,,76.6,32
37,Павлодарская,2008,570,,74.9,33
36,Павлодарская,2008,574,,73.2,34
35,Павлодарская,2008,578,,71.5,35
34,Павлодарская,2008,581,,69.8,36
33,Павлодарская,2008,585,,68.1,37
32,Павлодарская,2008,588,,66.4,38
31,Павлодарская,2008,592,,64.7,39
30,Павлодарская,2008,596,,63.0,40
39,Республика Казахстан,2008,2352,,66.3,31
38,Республика Казахстан,2008,2384,,64.6,32
37,Республика Казахстан,2008,2416,,62.9,33
36,Республика Казахстан,2008,2449,,61.2,34
35,Республика Казахстан,2008,2481,,59.5,35
34,Республика Казахстан,2008,2513,,57.8,36
33,Республика Казахстан,2008,2546,,56.1,37
32,Республика Казахстан,2008,2578,,54.4,38
31,Республика Казахстан,2008,2610,,52.7,39
30,Республика Казахстан,2008,2643,,51.0,40
30,СКО,2008,73,,64.0,31
31,СКО,2008,73,,65.7,32
32,СКО,2008,73,,67.4,33
33,СКО,2008,74,,69.1,34
34,СКО,2008,74,,70.8,35
35,СКО,2008,75,,72.5,36
36,СКО,2008,75,,74.2,37
37,СКО,2008,75,,75.9,38
38,СКО,2008,76,,77.6,39
39,СКО,2008,76,,79.3,40
39,Южно-Казахстанская,2008,39,,77.3,31
38,Южно-Казахстанская,2008,39,,75.6,32
37,Южно-Казахстанская,2008,39,,73.9,33
36,Южно-Казахстанская,2008,39,,72.2,34
