,Регион,Год,Выброс загрезнений(тыс.тонн)
154,Акмолинская,2014.0,84.6
153,Республика Казахстан,2014.0,2256.7
160,Карагандинская,2014.0,603.6
186,г. Алматы,2015.0,39.1
185,г. Астана,2015.0,56.3
184,Восточно-Казахстанская,2015.0,127.1
183,Северо-Казахстанская,2015.0,74.9
182,Павлодарская,2015.0,552.9
181,Южно-Казахстанская,2015.0,69.0
180,Мангистауская,2015.0,72.5
179,Кызылординская,2015.0,30.1
178,Костанайская,2015.0,91.6
176,Жамбылская,2015.0,41.9
175,Западно-Казахстанская,2015.0,42.4
174,Атырауская,2015.0,110.7
173,Алматинская,2015.0,55.0
172,Актюбинская,2015.0,134.3
171,Акмолинская,2015.0,85.6
170,Республика Казахстан,2015.0,2180.0
177,Карагандинская,2015.0,596.4
203,г. Алматы,2016.0,38.8
202,г. Астана,2016.0,61.6
201,Восточно-Казахстанская,2016.0,128.6
200,Северо-Казахстанская,2016.0,77.7
199,Павлодарская,2016.0,542.7
198,Южно-Казахстанская,2016.0,72.1
197,Мангистауская,2016.0,65.8
195,Костанайская,2016.0,98.7
196,Кызылординская,2016.0,30.1
193,Жамбылская,2016.0,52.4
187,Республика Казахстан,2016.0,2271.6
188,Акмолинская,2016.0,94.5
189,Актюбинская,2016.0,155.6
194,Карагандинская,2016.0,593.0
191,Атырауская,2016.0,167.1
192,Западно-Казахстанская,2016.0,42.5
190,Алматинская,2016.0,50.3
220,г. Алматы,2017.0,41.1
219,г. Астана,2017.0,59.2
218,Восточно-Казахстанская,2017.0,129.3
217,Северо-Казахстанская,2017.0,76.4
216,Павлодарская,2017.0,609.8
215,Южно-Казахстанская,2017.0,68.2
213,Кызылординская,2017.0,27.5
214,Мангистауская,2017.0,62.6
212,Костанайская,2017.0,114.8
210,Жамбылская,2017.0,51.9
209,Западно-Казахстанская,2017.0,41.5
208,Атырауская,2017.0,177.0
207,Алматинская,2017.0,43.4
206,Актюбинская,2017.0,169.5
205,Акмолинская,2017.0,86.9
204,Республика Казахстан,2017.0,2357.8
211,Карагандинская,2017.0,598.7
232,Павлодарская,2018.0,709.3
233,Северо-Казахстанская,2018.0,75.5
234,Туркестанская ,2018.0,30.0
231,Мангистауская,2018.0,65.5
236,г. Астана,2018.0,56.4
237,г. Алматы,2018.0,43.0
235,Восточно-Казахстанская,2018.0,130.7
238,г.Шымкент,2018.0,33.4
230,Кызылординская,2018.0,26.0
228,Карагандинская,2018.0,587.5
221,Республика Казахстан,2018.0,2446.7
222,Акмолинская,2018.0,84.5
223,Актюбинская,2018.0,158.1
229,Костанайская,2018.0,124.0
225,Атырауская,2018.0,172.3
226,Западно-Казахстанская,2018.0,48.2
227,Жамбылская,2018.0,52.1
224,Алматинская,2018.0,50.2
248,Кызылординская,2019.0,24.4
255,г. Алматы,2019.0,46.1
254,г. Астана,2019.0,65.1
253,Восточно-Казахстанская,2019.0,128.8
252,Туркестанская ,2019.0,33.5
251,Северо-Казахстанская,2019.0,74.7
250,Павлодарская,2019.0,721.5
249,Мангистауская,2019.0,64.5
256,г.Шымкент,2019.0,29.8
247,Костанайская,2019.0,130.5
245,Жамбылская,2019.0,55.8
244,Западно-Казахстанская,2019.0,41.2
243,Атырауская,2019.0,164.5
242,Алматинская,2019.0,48.1
241,Актюбинская,2019.0,136.6
240,Акмолинская,2019.0,76.7
239,Республика Казахстан,2019.0,2483.1
246,Карагандинская,2019.0,641.3
267,Мангистауская,2020.0,72.5
274,г.Шымкент,2020.0,29.6
272,г. Астана,2020.0,62.4
271,Восточно-Казахстанская,2020.0,127.2
270,Туркестанская ,2020.0,28.1
269,Северо-Казахстанская,2020.0,76.0
268,Павлодарская,2020.0,723.0
266,Кызылординская,2020.0,28.3
273,г. Алматы,2020.0,44.5
264,Карагандинская,2020.0,627.7
265,Костанайская,2020.0,123.4
258,Акмолинская,2020.0,77.2
259,Актюбинская,2020.0,135.1
257,Республика Казахстан,2020.0,2441.0
261,Атырауская,2020.0,153.9
262,Западно-Казахстанская,2020.0,30.8
263,Жамбылская,2020.0,55.0
260,Алматинская,2020.0,46.3
286,Павлодарская,2021.0,736.12
292,г.Шымкент,2021.0,33.2
291,г. Алматы,2021.0,40.8
290,г. Астана,2021.0,62.2
289,Восточно-Казахстанская,2021.0,128.1
288,Туркестанская ,2021.0,29.0
287,Северо-Казахстанская,2021.0,61.2
285,Мангистауская,2021.0,75.2
284,Кызылординская,2021.0,29.2
282,Карагандинская,2021.0,569.7
281,Жамбылская,2021.0,55.8
280,Западно-Казахстанская,2021.0,26.0
279,Атырауская,2021.0,160.3
278,Алматинская,2021.0,47.9
277,Актюбинская,2021.0,137.4
276,Акмолинская,2021.0,77.3
275,Республика Казахстан,2021.0,2407.4557910000003
283,Костанайская,2021.0,137.9
305,Мангистауская,2022.0,78.7
306,Павлодарская,2022.0,724.2
307,Северо-Казахстанская,2022.0,52.7
308,Туркестанская ,2022.0,25.2
313,г.Шымкент,2022.0,35.0
310,Восточно-Казахстанская,2022.0,83.3
311,г. Астана,2022.0,57.7
312,г. Алматы,2022.0,41.5
309,Ұлытау,2022.0,105.0
304,Кызылординская,2022.0,23.4
299,Западно-Казахстанская,2022.0,25.8
302,Карагандинская,2022.0,469.0
303,Костанайская,2022.0,121.4
294,Абай,2022.0,39.0
295,Акмолинская,2022.0,69.5
296,Актюбинская,2022.0,136.5
293,Республика Казахстан,2022.0,2314.8
298,Атырауская,2022.0,132.1
300,Жамбылская,2022.0,52.9
301,Жетісу,2022.0,13.08
297,Алматинская,2022.0,28.8
566,Карагандинская,2023.0,347.269281045752
398,Алматинская,2023.0,38.10784313725526
342,Акмолинская,2023.0,87.83006535947743
874,г.Шымкент,2023.0,34.180000000000064
846,г. Астана,2023.0,66.28758169934645
370,Актюбинская,2023.0,123.09673202614431
594,Костанайская,2023.0,123.46928104575181
818,г. Алматы,2023.0,50.205882352940534
482,Жамбылская,2023.0,62.71830065359518
510,Жетісу,2023.0,13.08
762,Туркестанская ,2023.0,24.929999999999836
426,Атырауская,2023.0,171.67320261437817
734,Северо-Казахстанская,2023.0,69.82287581699353
706,Республика Казахстан,2023.0,2201.771434777773
622,Кызылординская,2023.0,23.96274509803925
454,Восточно-Казахстанская,2023.0,107.16797385620885
678,Павлодарская,2023.0,719.6007843137268
538,Западно-Казахстанская,2023.0,29.920915032680114
790,Южно-Казахстанская,2023.0,88.18241758241766
902,Ұлытау,2023.0,105.0
650,Мангистауская,2023.0,74.20784313725483
314,Абай,2023.0,39.0
539,Западно-Казахстанская,2024.0,28.116683866529456
651,Мангистауская,2024.0,74.69287925696597
819,г. Алматы,2024.0,52.58720330237338
791,Южно-Казахстанская,2024.0,91.31428571428569
399,Алматинская,2024.0,36.01042311661513
903,Ұлытау,2024.0,105.0
763,Туркестанская ,2024.0,23.519999999999982
427,Атырауская,2024.0,176.16277949776304
511,Жетісу,2024.0,13.08
735,Северо-Казахстанская,2024.0,69.60130718954252
707,Республика Казахстан,2024.0,2175.2493881988266
315,Абай,2024.0,39.0
455,Восточно-Казахстанская,2024.0,104.047643618851
623,Кызылординская,2024.0,23.246542827657322
679,Павлодарская,2024.0,729.0720949432398
483,Жамбылская,2024.0,65.34244926040628
371,Актюбинская,2024.0,119.80632954936391
847,г. Астана,2024.0,67.27457860337108
595,Костанайская,2024.0,124.55142758857937
875,г.Шымкент,2024.0,34.840000000000146
343,Акмолинская,2024.0,88.88878568971495
567,Карагандинская,2024.0,304.77598899208533
624,Кызылординская,2025.0,22.530340557275622
680,Павлодарская,2025.0,738.5434055727565
820,г. Алматы,2025.0,54.96852425180532
596,Костанайская,2025.0,125.63357413140693
344,Акмолинская,2025.0,89.94750601995202
792,Южно-Казахстанская,2025.0,94.44615384615372
456,Восточно-Казахстанская,2025.0,100.92731338149224
