,Регион,Год,Выброс загрезнений(тыс.тонн)
806,Южно-Казахстанская,2039.0,138.292307692308
582,Карагандинская,2039.0,-332.623391812871
330,Абай,2039.0,39.0
526,Жетісу,2039.0,13.08
918,Ұлытау,2039.0,105.0
498,Жамбылская,2039.0,104.70467836257376
442,Атырауская,2039.0,243.50643274853792
638,Кызылординская,2039.0,12.503508771929774
834,г. Алматы,2039.0,88.30701754385882
666,Мангистауская,2039.0,81.96842105263158
890,г.Шымкент,2039.0,44.74000000000001
610,Костанайская,2039.0,140.78362573099412
470,Восточно-Казахстанская,2039.0,57.24269005847873
778,Туркестанская ,2039.0,2.369999999999891
554,Западно-Казахстанская,2039.0,1.053216374269141
723,Республика Казахстан,2040.0,1750.896642935666
751,Северо-Казахстанская,2040.0,66.05620915032682
387,Актюбинская,2040.0,67.15988992088114
863,г. Астана,2040.0,83.0665290677673
919,Ұлытау,2040.0,105.0
359,Акмолинская,2040.0,105.82831097351254
891,г.Шымкент,2040.0,45.40000000000009
443,Атырауская,2040.0,247.9960096319228
667,Мангистауская,2040.0,82.45345717234261
779,Туркестанская ,2040.0,0.9600000000000364
583,Карагандинская,2040.0,-375.11668386653764
611,Костанайская,2040.0,141.86577227382168
807,Южно-Казахстанская,2040.0,141.42417582417602
555,Западно-Казахстанская,2040.0,-0.7510147918815164
499,Жамбылская,2040.0,107.32882696938486
331,Абай,2040.0,39.0
471,Восточно-Казахстанская,2040.0,54.12235982112088
639,Кызылординская,2040.0,11.787306501548073
835,г. Алматы,2040.0,90.68833849329167
695,Павлодарская,2040.0,880.613065015481
527,Жетісу,2040.0,13.08
415,Алматинская,2040.0,2.4517027863776093
332,Абай,2041.0,39.0
780,Туркестанская ,2041.0,-0.45000000000027285
836,г. Алматы,2041.0,93.0696594427236
500,Жамбылская,2041.0,109.95297557619597
584,Карагандинская,2041.0,-417.60997592018975
668,Мангистауская,2041.0,82.93849329205364
528,Жетісу,2041.0,13.08
724,Республика Казахстан,2041.0,1724.3745963567198
752,Северо-Казахстанская,2041.0,65.83464052287587
864,г. Астана,2041.0,84.05352597179217
556,Западно-Казахстанская,2041.0,-2.555245958032174
444,Атырауская,2041.0,252.48558651530766
388,Актюбинская,2041.0,63.86948744410074
612,Костанайская,2041.0,142.94791881664923
892,г.Шымкент,2041.0,46.06000000000017
360,Акмолинская,2041.0,106.88703130374961
920,Ұлытау,2041.0,105.0
808,Южно-Казахстанская,2041.0,144.55604395604405
640,Кызылординская,2041.0,11.071104231166146
696,Павлодарская,2041.0,890.084375644994
472,Восточно-Казахстанская,2041.0,51.00202958376303
416,Алматинская,2041.0,0.35428276573838957
613,Костанайская,2042.0,144.03006535947725
585,Карагандинская,2042.0,-460.1032679738564
529,Жетісу,2042.0,13.08
809,Южно-Казахстанская,2042.0,147.68791208791208
753,Северо-Казахстанская,2042.0,65.61307189542487
389,Актюбинская,2042.0,60.57908496732125
417,Алматинская,2042.0,-1.7431372549017397
781,Туркестанская ,2042.0,-1.8600000000001273
473,Восточно-Казахстанская,2042.0,47.881699346405185
501,Жамбылская,2042.0,112.57712418300707
837,г. Алматы,2042.0,95.45098039215645
865,г. Астана,2042.0,85.04052287581703
333,Абай,2042.0,39.0
725,Республика Казахстан,2042.0,1697.8525497777737
641,Кызылординская,2042.0,10.354901960784446
669,Мангистауская,2042.0,83.42352941176466
445,Атырауская,2042.0,256.97516339869253
697,Павлодарская,2042.0,899.5556862745107
893,г.Шымкент,2042.0,46.72000000000003
921,Ұлытау,2042.0,105.0
361,Акмолинская,2042.0,107.94575163398713
557,Западно-Казахстанская,2042.0,-4.359477124182831
866,г. Астана,2043.0,86.02751977984167
614,Костанайская,2043.0,145.1122119023048
558,Западно-Казахстанская,2043.0,-6.1637082903334885
894,г.Шымкент,2043.0,47.38000000000011
670,Мангистауская,2043.0,83.90856553147569
334,Абай,2043.0,39.0
782,Туркестанская ,2043.0,-3.269999999999982
474,Восточно-Казахстанская,2043.0,44.76136910904643
922,Ұлытау,2043.0,105.0
642,Кызылординская,2043.0,9.638699690402518
418,Алматинская,2043.0,-3.840557275541869
698,Павлодарская,2043.0,909.0269969040237
838,г. Алматы,2043.0,97.83230134158839
726,Республика Казахстан,2043.0,1671.3305031988275
390,Актюбинская,2043.0,57.28868249054085
810,Южно-Казахстанская,2043.0,150.8197802197801
586,Карагандинская,2043.0,-502.5965600275231
362,Акмолинская,2043.0,109.00447196422465
446,Атырауская,2043.0,261.4647402820774
754,Северо-Казахстанская,2043.0,65.39150326797392
502,Жамбылская,2043.0,115.20127278981818
530,Жетісу,2043.0,13.08
839,г. Алматы,2044.0,100.21362229102124
363,Акмолинская,2044.0,110.06319229446171
587,Карагандинская,2044.0,-545.0898520811897
811,Южно-Казахстанская,2044.0,153.95164835164906
335,Абай,2044.0,39.0
559,Западно-Казахстанская,2044.0,-7.967939456484146
867,г. Астана,2044.0,87.01451668386653
531,Жетісу,2044.0,13.08
895,г.Шымкент,2044.0,48.039999999999964
391,Актюбинская,2044.0,53.99828001376045
783,Туркестанская ,2044.0,-4.680000000000291
503,Жамбылская,2044.0,117.82542139662928
699,Павлодарская,2044.0,918.4983075335404
615,Костанайская,2044.0,146.19435844513237
755,Северо-Казахстанская,2044.0,65.16993464052291
419,Алматинская,2044.0,-5.937977296181089
447,Атырауская,2044.0,265.95431716546227
923,Ұлытау,2044.0,105.0
727,Республика Казахстан,2044.0,1644.8084566198813
475,Восточно-Казахстанская,2044.0,41.64103887168858
671,Мангистауская,2044.0,84.39360165118671
643,Кызылординская,2044.0,8.92249742002059
924,Ұлытау,2045.0,105.0
504,Жамбылская,2045.0,120.44957000344039
364,Акмолинская,2045.0,111.12191262469923
840,г. Алматы,2045.0,102.59494324045318
588,Карагандинская,2045.0,-587.5831441348564
756,Северо-Казахстанская,2045.0,64.94836601307196
420,Алматинская,2045.0,-8.035397316821218
448,Атырауская,2045.0,270.44389404884714
532,Жетісу,2045.0,13.08
700,Павлодарская,2045.0,927.9696181630534
812,Южно-Казахстанская,2045.0,157.0835164835171
728,Республика Казахстан,2045.0,1618.2864100409279
336,Абай,2045.0,39.0
476,Восточно-Казахстанская,2045.0,38.52070863433073
896,г.Шымкент,2045.0,48.700000000000045
672,Мангистауская,2045.0,84.87863777089785
392,Актюбинская,2045.0,50.70787753698005
784,Туркестанская ,2045.0,-6.0900000000001455
560,Западно-Казахстанская,2045.0,-9.772170622634803
644,Кызылординская,2045.0,8.20629514963889
868,г. Астана,2045.0,88.00151358789117
616,Костанайская,2045.0,147.27650498795992
561,Западно-Казахстанская,2046.0,-11.57640178878546
337,Абай,2046.0,39.0
729,Республика Казахстан,2046.0,1591.7643634619817
533,Жетісу,2046.0,13.08
701,Павлодарская,2046.0,937.44092879257
673,Мангистауская,2046.0,85.36367389060888
841,г. Алматы,2046.0,104.97626418988602
869,г. Астана,2046.0,88.98851049191603
897,г.Шымкент,2046.0,49.36000000000013
477,Восточно-Казахстанская,2046.0,35.40037839697288
449,Атырауская,2046.0,274.933470932232
645,Кызылординская,2046.0,7.490092879256963
365,Акмолинская,2046.0,112.18063295493675
393,Актюбинская,2046.0,47.41747506020056
757,Северо-Казахстанская,2046.0,64.72679738562096
617,Костанайская,2046.0,148.35865153078794
785,Туркестанская ,2046.0,-7.5
421,Алматинская,2046.0,-10.132817337461347
813,Южно-Казахстанская,2046.0,160.21538461538512
589,Карагандинская,2046.0,-630.0764361885085
925,Ұлытау,2046.0,105.0
505,Жамбылская,2046.0,123.07371861025149
702,Павлодарская,2047.0,946.9122394220831
534,Жетісу,2047.0,13.08
506,Жамбылская,2047.0,125.6978672170626
338,Абай,2047.0,39.0
758,Северо-Казахстанская,2047.0,64.50522875817
646,Кызылординская,2047.0,6.773890608875263
590,Карагандинская,2047.0,-672.5697282421752
926,Ұлытау,2047.0,105.0
814,Южно-Казахстанская,2047.0,163.34725274725315
674,Мангистауская,2047.0,85.8487100103199
870,г. Астана,2047.0,89.97550739594067
450,Атырауская,2047.0,279.4230478156169
422,Алматинская,2047.0,-12.230237358100567
478,Восточно-Казахстанская,2047.0,32.280048159614125
730,Республика Казахстан,2047.0,1565.2423168830355
562,Западно-Казахстанская,2047.0,-13.380632954936118
842,г. Алматы,2047.0,107.35758513931796
898,г.Шымкент,2047.0,50.01999999999998
366,Акмолинская,2047.0,113.23935328517382
786,Туркестанская ,2047.0,-8.91000000000031
618,Костанайская,2047.0,149.4407980736155
394,Актюбинская,2047.0,44.12707258342016
395,Актюбинская,2048.0,40.83667010663976
647,Кызылординская,2048.0,6.057688338493335
899,г.Шымкент,2048.0,50.680000000000064
479,Восточно-Казахстанская,2048.0,29.159717922256277
339,Абай,2048.0,39.0
507,Жамбылская,2048.0,128.3220158238737
675,Мангистауская,2048.0,86.33374613003093
563,Западно-Казахстанская,2048.0,-15.184864121086775
787,Туркестанская ,2048.0,-10.320000000000164
535,Жетісу,2048.0,13.08
703,Павлодарская,2048.0,956.3835500515997
843,г. Алматы,2048.0,109.73890608875081
815,Южно-Казахстанская,2048.0,166.47912087912118
367,Акмолинская,2048.0,114.29807361541134
451,Атырауская,2048.0,283.91262469900175
731,Республика Казахстан,2048.0,1538.7202703040894
927,Ұлытау,2048.0,105.0
619,Костанайская,2048.0,150.52294461644306
591,Карагандинская,2048.0,-715.0630202958419
423,Алматинская,2048.0,-14.327657378740696
871,г. Астана,2048.0,90.96250429996553
759,Северо-Казахстанская,2048.0,64.283660130719
508,Жамбылская,2049.0,130.9461644306848
732,Республика Казахстан,2049.0,1512.1982237251432
900,г.Шымкент,2049.0,51.340000000000146
788,Туркестанская ,2049.0,-11.730000000000018
368,Акмолинская,2049.0,115.35679394564886
620,Костанайская,2049.0,151.60509115927061
396,Актюбинская,2049.0,37.54626762985936
844,г. Алматы,2049.0,112.12022703818366
564,Западно-Казахстанская,2049.0,-16.989095287237433
676,Мангистауская,2049.0,86.81878224974196
872,г. Астана,2049.0,91.9495012039904
480,Восточно-Казахстанская,2049.0,26.03938768489843
816,Южно-Казахстанская,2049.0,169.61098901098921
648,Кызылординская,2049.0,5.341486068111408
928,Ұлытау,2049.0,105.0
452,Атырауская,2049.0,288.4022015823866
536,Жетісу,2049.0,13.08
340,Абай,2049.0,39.0
760,Северо-Казахстанская,2049.0,64.062091503268
592,Карагандинская,2049.0,-757.5563123495085
704,Павлодарская,2049.0,965.8548606811164
424,Алматинская,2049.0,-16.425077399380825
425,Алматинская,2050.0,-18.522497420020045
341,Абай,2050.0,39.0
565,Западно-Казахстанская,2050.0,-18.79332645338809
593,Карагандинская,2050.0,-800.0496044031752
509,Жамбылская,2050.0,133.5703130374959
621,Костанайская,2050.0,152.68723770209817
649,Кызылординская,2050.0,4.625283797729708
481,Восточно-Казахстанская,2050.0,22.91905744753967
677,Мангистауская,2050.0,87.30381836945298
453,Атырауская,2050.0,292.8917784657715
901,г.Шымкент,2050.0,52.0
705,Павлодарская,2050.0,975.3261713106294
537,Жетісу,2050.0,13.08
761,Северо-Казахстанская,2050.0,63.840522875817044
789,Туркестанская ,2050.0,-13.140000000000327
397,Актюбинская,2050.0,34.25586515307896
817,Южно-Казахстанская,2050.0,172.74285714285725
369,Акмолинская,2050.0,116.41551427588593
845,г. Алматы,2050.0,114.5015479876156
873,г. Астана,2050.0,92.93649810801503
733,Республика Казахстан,2050.0,1485.676177146197
929,Ұлытау,2050.0,105.0
