,Регион,Год,Выделенный бюджет на защиту экологии
441,Атырауская,2038.0,100223808.23687649
889,г.Шымкент,2038.0,2744080.199999988
721,Республика Казахстан,2038.0,450898098.53619003
917,Ұлытау,2038.0,12860844.0
749,Северо-Казахстанская,2038.0,8339432.008015156
833,г. Алматы,2038.0,10436736.46838665
861,г. Астана,2038.0,5899541.443068445
805,Южно-Казахстанская,2038.0,14578010.5
385,Актюбинская,2038.0,61412292.55700016
357,Акмолинская,2038.0,7587759.383660138
693,Павлодарская,2038.0,55495287.34447861
777,Туркестанская,2038.0,2593414.599999994
329,Абай,2038.0,4569245.0
525,Жетісу,2038.0,973288.0
553,Западно-Казахстанская,2038.0,24495944.809219122
581,Карагандинская,2038.0,56945349.32012367
497,Жамбылская,2038.0,11204863.947196364
637,Кызылординская,2038.0,5443541.99473685
609,Костанайская,2038.0,18747473.52146542
414,Алматинская,2039.0,3671662.68479532
694,Павлодарская,2039.0,57005175.11228037
862,г. Астана,2039.0,6089535.164327443
358,Акмолинская,2039.0,7827448.311111093
386,Актюбинская,2039.0,63253611.53801155
750,Северо-Казахстанская,2039.0,8614366.905848026
722,Республика Казахстан,2039.0,463437650.13040924
806,Южно-Казахстанская,2039.0,15006927.061538458
582,Карагандинская,2039.0,58498257.6175437
330,Абай,2039.0,4569245.0
526,Жетісу,2039.0,973288.0
918,Ұлытау,2039.0,12860844.0
498,Жамбылская,2039.0,11549902.004678369
442,Атырауская,2039.0,103174230.48713398
638,Кызылординская,2039.0,5570116.05438596
834,г. Алматы,2039.0,10731800.025146246
666,Мангистауская,2039.0,5169992.066666722
890,г.Шымкент,2039.0,2565854.5999999642
610,Костанайская,2039.0,19110709.829824567
470,Восточно-Казахстанская,2039.0,52814168.10292387
778,Туркестанская,2039.0,2656633.199999988
554,Западно-Казахстанская,2039.0,25286740.38011694
723,Республика Казахстан,2040.0,475977201.72463226
751,Северо-Казахстанская,2040.0,8889301.803680897
387,Актюбинская,2040.0,65094930.51902294
863,г. Астана,2040.0,6279528.8855865
919,Ұлытау,2040.0,12860844.0
359,Акмолинская,2040.0,8067137.238562107
891,г.Шымкент,2040.0,2387629.0
443,Атырауская,2040.0,106124652.73739243
667,Мангистауская,2040.0,4849022.515686274
779,Туркестанская,2040.0,2719851.799999997
583,Карагандинская,2040.0,60051165.91496372
611,Костанайская,2040.0,19473946.138183713
807,Южно-Казахстанская,2040.0,15435843.623076916
555,Западно-Казахстанская,2040.0,26077535.951014757
499,Жамбылская,2040.0,11894940.062160254
331,Абай,2040.0,4569245.0
471,Восточно-Казахстанская,2040.0,54320019.298899174
639,Кызылординская,2040.0,5696690.1140351
835,г. Алматы,2040.0,11026863.581905723
695,Павлодарская,2040.0,58515062.88008213
527,Жетісу,2040.0,973288.0
415,Алматинская,2040.0,3769012.92886135
332,Абай,2041.0,4569245.0
780,Туркестанская,2041.0,2783070.399999991
836,г. Алматы,2041.0,11321927.138665318
500,Жамбылская,2041.0,12239978.119642258
584,Карагандинская,2041.0,61604074.21238375
668,Мангистауская,2041.0,4528052.964705944
528,Жетісу,2041.0,973288.0
724,Республика Казахстан,2041.0,488516753.3188515
752,Северо-Казахстанская,2041.0,9164236.701513648
864,г. Астана,2041.0,6469522.606845498
556,Западно-Казахстанская,2041.0,26868331.521912813
444,Атырауская,2041.0,109075074.98764992
388,Актюбинская,2041.0,66936249.50003433
612,Костанайская,2041.0,19837182.44654286
892,г.Шымкент,2041.0,2209403.399999976
360,Акмолинская,2041.0,8306826.166013062
920,Ұлытау,2041.0,12860844.0
808,Южно-Казахстанская,2041.0,15864760.184615374
640,Кызылординская,2041.0,5823264.17368421
696,Павлодарская,2041.0,60024950.64788437
472,Восточно-Казахстанская,2041.0,55825870.49487448
416,Алматинская,2041.0,3866363.1729274094
613,Костанайская,2042.0,20200418.754902005
585,Карагандинская,2042.0,63156982.50980377
529,Жетісу,2042.0,973288.0
809,Южно-Казахстанская,2042.0,16293676.746153831
753,Северо-Казахстанская,2042.0,9439171.599346519
389,Актюбинская,2042.0,68777568.48104525
417,Алматинская,2042.0,3963713.416993439
781,Туркестанская,2042.0,2846289.0
473,Восточно-Казахстанская,2042.0,57331721.69084978
501,Жамбылская,2042.0,12585016.177124143
837,г. Алматы,2042.0,11616990.695424914
865,г. Астана,2042.0,6659516.328104556
333,Абай,2042.0,4569245.0
725,Республика Казахстан,2042.0,501056304.9130707
641,Кызылординская,2042.0,5949838.233333319
669,Мангистауская,2042.0,4207083.413725495
445,Атырауская,2042.0,112025497.23790836
697,Павлодарская,2042.0,61534838.41568613
893,г.Шымкент,2042.0,2031177.800000012
921,Ұлытау,2042.0,12860844.0
361,Акмолинская,2042.0,8546515.093464017
557,Западно-Казахстанская,2042.0,27659127.09281063
866,г. Астана,2043.0,6849510.0493635535
614,Костанайская,2043.0,20563655.06326115
558,Западно-Казахстанская,2043.0,28449922.66370845
894,г.Шымкент,2043.0,1852952.199999988
670,Мангистауская,2043.0,3886113.862745166
334,Абай,2043.0,4569245.0
782,Туркестанская,2043.0,2909507.599999994
474,Восточно-Казахстанская,2043.0,58837572.886825085
922,Ұлытау,2043.0,12860844.0
642,Кызылординская,2043.0,6076412.292982459
418,Алматинская,2043.0,4061063.661059499
698,Павлодарская,2043.0,63044726.18348789
838,г. Алматы,2043.0,11912054.252184391
726,Республика Казахстан,2043.0,513595856.5072937
390,Актюбинская,2043.0,70618887.46205664
810,Южно-Казахстанская,2043.0,16722593.30769229
586,Карагандинская,2043.0,64709890.8072238
362,Акмолинская,2043.0,8786204.020915031
446,Атырауская,2043.0,114975919.48816586
754,Северо-Казахстанская,2043.0,9714106.49717927
502,Жамбылская,2043.0,12930054.234606147
530,Жетісу,2043.0,973288.0
839,г. Алматы,2044.0,12207117.808943987
363,Акмолинская,2044.0,9025892.948365986
587,Карагандинская,2044.0,66262799.10464382
811,Южно-Казахстанская,2044.0,17151509.869230747
335,Абай,2044.0,4569245.0
559,Западно-Казахстанская,2044.0,29240718.234606266
867,г. Астана,2044.0,7039503.770622611
531,Жетісу,2044.0,973288.0
895,г.Шымкент,2044.0,1674726.5999999642
391,Актюбинская,2044.0,72460206.44306803
783,Туркестанская,2044.0,2972726.199999988
503,Жамбылская,2044.0,13275092.292088032
699,Павлодарская,2044.0,64554613.951289654
615,Костанайская,2044.0,20926891.37162018
755,Северо-Казахстанская,2044.0,9989041.39501214
419,Алматинская,2044.0,4158413.9051255584
447,Атырауская,2044.0,117926341.7384243
923,Ұлытау,2044.0,12860844.0
727,Республика Казахстан,2044.0,526135408.1015129
475,Восточно-Казахстанская,2044.0,60343424.08280039
671,Мангистауская,2044.0,3565144.311764717
643,Кызылординская,2044.0,6202986.352631569
924,Ұлытау,2045.0,12860844.0
504,Жамбылская,2045.0,13620130.349570036
364,Акмолинская,2045.0,9265581.875817
840,г. Алматы,2045.0,12502181.365703464
588,Карагандинская,2045.0,67815707.40206385
756,Северо-Казахстанская,2045.0,10263976.292844892
420,Алматинская,2045.0,4255764.149191588
448,Атырауская,2045.0,120876763.9886818
532,Жетісу,2045.0,973288.0
700,Павлодарская,2045.0,66064501.719091415
812,Южно-Казахстанская,2045.0,17580426.430769205
728,Республика Казахстан,2045.0,538674959.6957359
336,Абай,2045.0,4569245.0
476,Восточно-Казахстанская,2045.0,61849275.278775215
896,г.Шымкент,2045.0,1496501.0
672,Мангистауская,2045.0,3244174.7607843876
392,Актюбинская,2045.0,74301525.42407942
784,Туркестанская,2045.0,3035944.799999997
560,Западно-Казахстанская,2045.0,30031513.805504084
644,Кызылординская,2045.0,6329560.412280709
868,г. Астана,2045.0,7229497.491881609
616,Костанайская,2045.0,21290127.679979324
561,Западно-Казахстанская,2046.0,30822309.3764019
337,Абай,2046.0,4569245.0
729,Республика Казахстан,2046.0,551214511.2899551
533,Жетісу,2046.0,973288.0
701,Павлодарская,2046.0,67574389.48689365
673,Мангистауская,2046.0,2923205.209803939
841,г. Алматы,2046.0,12797244.92246306
869,г. Астана,2046.0,7419491.2131406665
897,г.Шымкент,2046.0,1318275.3999999762
477,Восточно-Казахстанская,2046.0,63355126.47475052
449,Атырауская,2046.0,123827186.23894024
645,Кызылординская,2046.0,6456134.471929818
365,Акмолинская,2046.0,9505270.803267956
393,Актюбинская,2046.0,76142844.40509081
757,Северо-Казахстанская,2046.0,10538911.190677762
617,Костанайская,2046.0,21653363.98833847
785,Туркестанская,2046.0,3099163.399999991
421,Алматинская,2046.0,4353114.393257648
813,Южно-Казахстанская,2046.0,18009342.992307663
589,Карагандинская,2046.0,69368615.69948387
925,Ұлытау,2046.0,12860844.0
505,Жамбылская,2046.0,13965168.40705192
702,Павлодарская,2047.0,69084277.25469542
534,Жетісу,2047.0,973288.0
506,Жамбылская,2047.0,14310206.464533925
338,Абай,2047.0,4569245.0
758,Северо-Казахстанская,2047.0,10813846.088510513
646,Кызылординская,2047.0,6582708.531578958
590,Карагандинская,2047.0,70921523.9969039
926,Ұлытау,2047.0,12860844.0
814,Южно-Казахстанская,2047.0,18438259.55384612
674,Мангистауская,2047.0,2602235.6588236094
870,г. Астана,2047.0,7609484.934399664
450,Атырауская,2047.0,126777608.48919773
422,Алматинская,2047.0,4450464.637323678
478,Восточно-Казахстанская,2047.0,64860977.67072582
730,Республика Казахстан,2047.0,563754062.8841782
562,Западно-Казахстанская,2047.0,31613104.94729972
842,г. Алматы,2047.0,13092308.479222536
898,г.Шымкент,2047.0,1140049.800000012
366,Акмолинская,2047.0,9744959.73071897
786,Туркестанская,2047.0,3162382.0
618,Костанайская,2047.0,22016600.296697617
394,Актюбинская,2047.0,77984163.3861022
395,Актюбинская,2048.0,79825482.36711359
647,Кызылординская,2048.0,6709282.591228068
899,г.Шымкент,2048.0,961824.1999999881
479,Восточно-Казахстанская,2048.0,66366828.866701126
339,Абай,2048.0,4569245.0
507,Жамбылская,2048.0,14655244.52201581
675,Мангистауская,2048.0,2281266.1078431606
563,Западно-Казахстанская,2048.0,32403900.518197536
787,Туркестанская,2048.0,3225600.599999994
535,Жетісу,2048.0,973288.0
703,Павлодарская,2048.0,70594165.02249718
843,г. Алматы,2048.0,13387372.035982132
815,Южно-Казахстанская,2048.0,18867176.11538458
367,Акмолинская,2048.0,9984648.658169925
451,Атырауская,2048.0,129728030.73945618
731,Республика Казахстан,2048.0,576293614.4783974
927,Ұлытау,2048.0,12860844.0
619,Костанайская,2048.0,22379836.605056763
591,Карагандинская,2048.0,72474432.29432392
423,Алматинская,2048.0,4547814.881389737
871,г. Астана,2048.0,7799478.655658722
759,Северо-Казахстанская,2048.0,11088780.986343384
508,Жамбылская,2049.0,15000282.579497695
732,Республика Казахстан,2049.0,588833166.0726166
900,г.Шымкент,2049.0,783598.5999999642
788,Туркестанская,2049.0,3288819.199999988
368,Акмолинская,2049.0,10224337.58562088
620,Костанайская,2049.0,22743072.91341591
396,Актюбинская,2049.0,81666801.34812498
844,г. Алматы,2049.0,13682435.592741728
564,Западно-Казахстанская,2049.0,33194696.089095354
676,Мангистауская,2049.0,1960296.556862712
872,г. Астана,2049.0,7989472.376917779
480,Восточно-Казахстанская,2049.0,67872680.06267643
816,Южно-Казахстанская,2049.0,19296092.676923037
648,Кызылординская,2049.0,6835856.650877178
928,Ұлытау,2049.0,12860844.0
452,Атырауская,2049.0,132678452.98971462
536,Жетісу,2049.0,973288.0
340,Абай,2049.0,4569245.0
760,Северо-Казахстанская,2049.0,11363715.884176254
592,Карагандинская,2049.0,74027340.59174395
704,Павлодарская,2049.0,72104052.79029894
424,Алматинская,2049.0,4645165.125455797
425,Алматинская,2050.0,4742515.3695218265
341,Абай,2050.0,4569245.0
565,Западно-Казахстанская,2050.0,33985491.65999317
593,Карагандинская,2050.0,75580248.88916397
509,Жамбылская,2050.0,15345320.6369797
621,Костанайская,2050.0,23106309.221775055
649,Кызылординская,2050.0,6962430.710526317
481,Восточно-Казахстанская,2050.0,69378531.25865173
677,Мангистауская,2050.0,1639327.0058823824
453,Атырауская,2050.0,135628875.2399721
901,г.Шымкент,2050.0,605373.0
705,Павлодарская,2050.0,73613940.5581007
537,Жетісу,2050.0,973288.0
761,Северо-Казахстанская,2050.0,11638650.782009006
789,Туркестанская,2050.0,3352037.799999997
397,Актюбинская,2050.0,83508120.32913637
817,Южно-Казахстанская,2050.0,19725009.238461494
369,Акмолинская,2050.0,10464026.513071895
845,г. Алматы,2050.0,13977499.149501204
873,г. Астана,2050.0,8179466.098176777
733,Республика Казахстан,2050.0,601372717.6668396
929,Ұлытау,2050.0,12860844.0
