Регион,Год,Выделенный бюджет на защиту экологии
Республика Казахстан,2015.0,174650049.0
Акмолинская,2015.0,1200707.0
Актюбинская,2015.0,18308916.0
Алматинская,2015.0,2431904.0
Атырауская,2015.0,40254371.0
Западно-Казахстанская,2015.0,3793821.0
Жамбылская,2015.0,3245330.0
Карагандинская,2015.0,23881108.0
Костанайская,2015.0,5171019.0
Кызылординская,2015.0,2904693.0
Мангистауская,2015.0,29093197.0
Южно-Казахстанская,2015.0,4988206.0
Павлодарская,2015.0,16696011.0
Северо-Казахстанская,2015.0,1864711.0
Восточно-Казахстанская,2015.0,15838119.0
г. Астана,2015.0,1584670.0
г. Алматы,2015.0,3393266.0
Республика Казахстан,2016.0,152205626.0
Акмолинская,2016.0,2128605.0
Актюбинская,2016.0,17711122.0
Алматинская,2016.0,1793189.0
Атырауская,2016.0,26218442.0
Западно-Казахстанская,2016.0,7533073.0
Жамбылская,2016.0,3599495.0
Карагандинская,2016.0,17040221.0
Костанайская,2016.0,8303476.0
Кызылординская,2016.0,2708568.0
Мангистауская,2016.0,18427462.0
Южно-Казахстанская,2016.0,5461879.0
Павлодарская,2016.0,19015796.0
Северо-Казахстанская,2016.0,1994908.0
Восточно-Казахстанская,2016.0,15063348.0
г. Астана,2016.0,2424693.0
г. Алматы,2016.0,2781349.0
Республика Казахстан,2017.0,175445180.0
Акмолинская,2017.0,2049453.0
Актюбинская,2017.0,19018457.0
Алматинская,2017.0,844376.0
Атырауская,2017.0,36827790.0
Западно-Казахстанская,2017.0,10744087.0
Жамбылская,2017.0,3424138.0
Карагандинская,2017.0,24231114.0
Костанайская,2017.0,6946069.0
Кызылординская,2017.0,2401904.0
Мангистауская,2017.0,14265688.0
Южно-Казахстанская,2017.0,5911514.0
Павлодарская,2017.0,22983128.0
Северо-Казахстанская,2017.0,2488085.0
Восточно-Казахстанская,2017.0,17783490.0
г. Астана,2017.0,2211120.0
г. Алматы,2017.0,3314767.0
Республика Казахстан,2018.0,191015579.0
Акмолинская,2018.0,2715372.0
Актюбинская,2018.0,23454296.0
Алматинская,2018.0,841212.0
Атырауская,2018.0,38408581.0
Западно-Казахстанская,2018.0,9659834.0
Жамбылская,2018.0,3629200.0
Карагандинская,2018.0,24045627.0
Костанайская,2018.0,8400631.0
Кызылординская,2018.0,2639628.0
Мангистауская,2018.0,11809507.0
Павлодарская,2018.0,29016058.0
Северо-Казахстанская,2018.0,2700396.0
Туркестанская,2018.0,1279159.0
Восточно-Казахстанская,2018.0,21125691.0
г. Астана,2018.0,2032590.0
г. Алматы,2018.0,3918314.0
г.Шымкент,2018.0,5339483.0
Республика Казахстан,2019.0,221670479.0
Акмолинская,2019.0,3165432.0
Актюбинская,2019.0,24811608.0
Алматинская,2019.0,1287082.0
Атырауская,2019.0,51198333.0
Западно-Казахстанская,2019.0,12631764.0
Жамбылская,2019.0,4782879.0
Карагандинская,2019.0,26874954.0
Костанайская,2019.0,8797401.0
Кызылординская,2019.0,2853868.0
Мангистауская,2019.0,11127425.0
Павлодарская,2019.0,33159437.0
Северо-Казахстанская,2019.0,3688821.0
Туркестанская,2019.0,1581227.0
Восточно-Казахстанская,2019.0,22885867.0
г. Астана,2019.0,1678216.0
г. Алматы,2019.0,4512795.0
г.Шымкент,2019.0,6633370.0
Республика Казахстан,2020.0,210397122.0
Акмолинская,2020.0,3261696.0
Актюбинская,2020.0,26847144.0
Алматинская,2020.0,1786108.0
Атырауская,2020.0,39940657.0
Западно-Казахстанская,2020.0,13685551.0
Жамбылская,2020.0,4591362.0
Карагандинская,2020.0,28503150.0
Костанайская,2020.0,10423346.0
Кызылординская,2020.0,2863434.0
